"page_number","taxon"
"596","Cliff Swallow"
"597","Cliff Swallow (pyrrhonota Group)"
"598","Barn x Cliff Swallow (hybrid)"
"599","Violet-green x Cliff Swallow (hybrid)"
"600","swallow sp."
"601","Black-capped Chickadee"
"602","Mountain Chickadee"
"603","Black-capped x Mountain Chickadee (hybrid)"
"604","Chestnut-backed Chickadee"
"605","Boreal Chickadee"
"606","chickadee sp."
"607","Bushtit"
"608","Bushtit (Pacific)"
"609","Bushtit (Interior)"
"610","Red-breasted Nuthatch"
"611","White-breasted Nuthatch"
"612","White-breasted Nuthatch (Interior West)"
"613","White-breasted Nuthatch (Pacific)"
"614","Pygmy Nuthatch"
"615","nuthatch sp."
"616","Brown Creeper"
"617","Rock Wren"
"618","Canyon Wren"
"619","House Wren"
"620","House Wren (Northern)"
"621","Pacific Wren"
"622","Marsh Wren"
"623","Marsh Wren (paludicola Group)"
"624","Marsh Wren (plesius Group)"
"625","Bewick's Wren"
"626","wren sp."
"627","Blue-gray Gnatcatcher"
"628","Blue-gray Gnatcatcher (caerulea)"
"629","Blue-gray Gnatcatcher (obscura Group)"
"630","American Dipper"
"631","Golden-crowned Kinglet"
"632","Ruby-crowned Kinglet"
"633","kinglet sp."
"634","Red-flanked Bluetail"
"635","Northern Wheatear"
"636","Western Bluebird"
"637","Mountain Bluebird"
"638","bluebird sp."
"639","Townsend's Solitaire"
"640","Varied Thrush"
"641","Veery"
"642","Gray-cheeked Thrush"
"643","Swainson's Thrush"
"644","Swainson's Thrush (Russet-backed)"
"645","Swainson's Thrush (Olive-backed)"
"646","Hermit Thrush"
"647","Hermit Thrush (guttatus Group)"
"648","Hermit Thrush (auduboni Group)"
"649","Catharus sp."
"650","Redwing"
"651","American Robin"
"652","Varied Thrush/American Robin"
"653","Dusky Thrush"
"654","thrush sp."
"655","Gray Catbird"
"656","Brown Thrasher"
"657","Sage Thrasher"
"658","Northern Mockingbird"
"659","European Starling"
"660","Siberian Accentor"
"661","Gray Wagtail"
"662","Eastern Yellow Wagtail"
"663","White Wagtail"
"664","Red-throated Pipit"
"665","American Pipit"
"666","Bohemian Waxwing"
"667","Cedar Waxwing"
"668","Phainopepla"
"669","Brambling"
"670","Evening Grosbeak"
"671","Pine Grosbeak"
"672","Gray-crowned Rosy-Finch"
"673","Gray-crowned Rosy-Finch (Hepburn's)"
"674","Gray-crowned Rosy-Finch (Gray-crowned)"
"675","House Finch"
"676","Purple Finch"
"677","Purple Finch (Western)"
"678","House/Purple Finch"
"679","Cassin's Finch"
"680","Purple/Cassin's Finch"
"681","Common Redpoll"
"682","Common Redpoll (flammea)"
"683","Hoary Redpoll"
"684","Hoary Redpoll (exilipes)"
"685","Common/Hoary Redpoll"
"686","Red Crossbill"
"687","Red Crossbill (Appalachian or type 1)"
"688","Red Crossbill (Ponderosa Pine or type 2)"
"689","Red Crossbill (Western Hemlock or type 3)"
"690","Red Crossbill (Douglas-fir or type 4)"
"691","Red Crossbill (Lodgepole Pine or type 5)"
"692","Red Crossbill (Enigmatic or type 7)"
"693","Red Crossbill (Sitka Spruce or type 10)"
"694","White-winged Crossbill"
"695","crossbill sp."
"696","Pine Siskin"
"697","Lesser Goldfinch"
"698","Lawrence's Goldfinch"
"699","American Goldfinch"
